WGS84 UTM 16N
482706 1557461
24.14133592171129 -44.132979134097695 1154.622
23.070402824960183 8.179785031126812 1154.522
-43.743437256198376 -7.6544958762824535 1154.922
23.15800725360168 44.42151035252027 1154.722
45.32459612132516 -33.77282272768207 1154.522
-45.34177500725491 44.96277387975715 1154.622
0.7796228567603976 22.70149056171067 1155.022
-21.449850535718724 8.342185465386137 1154.622
-43.8907724826131 31.306215376360342 1154.822
-43.71299295639619 -20.167256311280653 1154.722
0.7041205121204257 -4.523574320366606 1155.022
23.019990855420474 -17.460083179408684 1154.622
-21.47875058790669 -12.065879664383829 1154.622
-21.432191096188035 -31.748975896509364 1154.322
45.098372375476174 17.279798354255036 1155.122
-43.68873233278282 -32.95343097462319 1154.722
-21.474224581266753 34.17872116854414 1154.822
45.08655293902848 44.04103260952979 1154.822
45.347175087139476 -44.68500320054591 1154.822
0.8775758827105165 -44.86061039287597 1154.922
0.6196943938848563 -18.42485394421965 1154.522
-21.46481011295691 21.592243974097073 1154.722
45.30620242690202 -21.11260951939039 1154.822
45.1286120765144 4.401456313440576 1155.022
-43.72325331688626 -43.99460200010799 1154.722
-21.370688529277686 45.30279293516651 1154.722
23.04085133067565 -4.415881518507376 1154.922
45.10408477729652 30.11203433270566 1155.322
23.108864575973712 20.64948877459392 1154.622
-0.536676244228147 44.86157933436334 1154.822
22.92099736444652 -30.753073215018958 1154.322
-43.79488112847321 18.02845233096741 1154.922
0.7540667071589269 -32.473744025221094 1154.822
-21.49187073437497 -4.917050439631566 1154.722
0.7195284537738189 9.304021569201723 1155.522
-22.02848383516539 -44.31660700566135 1154.622
23.12342939741211 33.25438210251741 1154.722
-43.80073267960688 5.0579707196448 1154.922
45.2817803248181 -8.49847387894988 1155.022
0.6621747160097584 30.77509864838794 1154.922
